"","GOR","Region_Name","sex","age_group","pop_raw",".groups","region","ethnicity","N","ethnicity_per","pop"
"566",9,"South_West_England","Female","(1,11]",309564.454375956,"drop","E12000009","Asian",10000.8739277909,0.0333335282807111,10318.8754946438
"567",9,"South_West_England","Female","(1,11]",309564.454375956,"drop","E12000009","Black",4675.27704183068,0.0155829861089397,4823.93859236203
"568",9,"South_West_England","Female","(1,11]",309564.454375956,"drop","E12000009","Mixed",12816.3467133726,0.0427176723464581,13223.8729321422
"569",9,"South_West_England","Female","(1,11]",309564.454375956,"drop","E12000009","Other",1047.29865652114,0.0034907108756254,1080.6000075972
"570",9,"South_West_England","Female","(1,11]",309564.454375956,"drop","E12000009","White",271484.66682474,0.904875102388266,280117.167349211
"571",9,"South_West_England","Female","(11,16]",150863.296115968,"drop","E12000009","Asian",3905.1142460606,0.0263638811624959,3977.34201058382
"572",9,"South_West_England","Female","(11,16]",150863.296115968,"drop","E12000009","Black",2368.06251016941,0.0159870658499806,2411.86144935111
"573",9,"South_West_England","Female","(11,16]",150863.296115968,"drop","E12000009","Mixed",5818.15075053417,0.0392790134443071,5925.7614363916
"574",9,"South_West_England","Female","(11,16]",150863.296115968,"drop","E12000009","Other",616.822761016173,0.00416424231023654,628.231320747859
"575",9,"South_West_England","Female","(11,16]",150863.296115968,"drop","E12000009","White",135415.497460379,0.91420579723298,137920.099898894
"576",9,"South_West_England","Female","(16,25]",263906.714870997,"drop","E12000009","Asian",12654.242669246,0.0462863745918919,12215.2850618346
"577",9,"South_West_England","Female","(16,25]",263906.714870997,"drop","E12000009","Black",4499.71099359792,0.0164589311307508,4343.62244500442
"578",9,"South_West_England","Female","(16,25]",263906.714870997,"drop","E12000009","Mixed",8109.65846998733,0.0296633073638147,7828.34599859301
"579",9,"South_West_England","Female","(16,25]",263906.714870997,"drop","E12000009","Other",1251.52568702247,0.00457779957876758,1208.11204817039
"580",9,"South_West_England","Female","(16,25]",263906.714870997,"drop","E12000009","White",246875.093772462,0.903013587334775,238311.349317395
"581",9,"South_West_England","Female","(25,50]",845298.52680939,"drop","E12000009","Asian",33501.3264215709,0.0401583995740445,33945.8359989627
"582",9,"South_West_England","Female","(25,50]",845298.52680939,"drop","E12000009","Black",10861.1368111201,0.0130193612754535,11005.2469061401
"583",9,"South_West_England","Female","(25,50]",845298.52680939,"drop","E12000009","Mixed",13880.7179591544,0.0166389656088191,14064.8931167669
"584",9,"South_West_England","Female","(25,50]",845298.52680939,"drop","E12000009","Other",4278.20172580655,0.00512832632957135,4334.96669138447
"585",9,"South_West_England","Female","(25,50]",845298.52680939,"drop","E12000009","White",771708.237209533,0.925054947212112,781947.584096136
"586",9,"South_West_England","Female","(50,70]",754577.966222016,"drop","E12000009","Asian",10381.8000691603,0.014053573458542,10604.5168784983
"587",9,"South_West_England","Female","(50,70]",754577.966222016,"drop","E12000009","Black",5671.59939423659,0.00767749698350465,5793.27005948861
"588",9,"South_West_England","Female","(50,70]",754577.966222016,"drop","E12000009","Mixed",4702.39911729676,0.0063655157088436,4803.2778975335
"589",9,"South_West_England","Female","(50,70]",754577.966222016,"drop","E12000009","Other",1224.33590595187,0.00165735175765304,1250.60111860431
"590",9,"South_West_England","Female","(50,70]",754577.966222016,"drop","E12000009","White",716750.132216448,0.970246062091457,732126.300267891
"591",9,"South_West_England","Female","(70, Inf]",456117.61893687,"drop","E12000009","Asian",2620.12140242097,0.0054087248172197,2467.01468511501
"592",9,"South_West_England","Female","(70, Inf]",456117.61893687,"drop","E12000009","Black",1546.92672717986,0.00319332568788119,1456.53210924631
"593",9,"South_West_England","Female","(70, Inf]",456117.61893687,"drop","E12000009","Mixed",1239.54615017573,0.00255879900005773,1167.11330724438
